Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
"Habitantes de Villa Ángela afrontan Intoxicación por sustancias químicas, Chaco","Un grave intoxicación por sustancias químicas se registró en Villa Ángela, Chaco. El incidente dejando un rastro de destrucción importante. Bomberos y personal de seguridad trabajan intensamente en la zona.",Desastre Tecnológico - Intoxicación masiva,-27.544482,-60.702282,31/07/2006
Confirman Vertido contaminante de gran magnitud en Bahía Blanca,"Grave vertido contaminante ocurrió en las inmediaciones de Bahía Blanca, Buenos Aires. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Desastre Tecnológico - Contaminación,-38.767414,-62.258619,02/06/2021
Equipos de emergencia atienden Polución industrial en San Pedro de Jujuy,"Un grave polución industrial se registró en San Pedro de Jujuy, Jujuy. El incidente dejando a varios sectores sin comunicación. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Desastre Tecnológico - Contaminación,-24.245595,-64.828116,14/11/2014
"Chilecito en alerta por Brote epidémico, La Rioja","Un grave brote epidémico se registró en Chilecito, La Rioja. El incidente causando daños en cultivos y producción agrícola. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Desastre Tecnológico - Evento sanitario,-29.211144,-67.489029,29/08/2002
Belgrano sufre las consecuencias de Crisis sanitaria,"Grave crisis sanitaria ocurrió en las inmediaciones de Belgrano, CABA. El incidente destruyendo viviendas y dejando a familias evacuadas. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Desastre Tecnológico - Evento sanitario,-34.517034,-58.425013,15/03/2024
"Contaminación ambiental severa genera crisis en Gaiman, Chubut","Grave contaminación ambiental severa ocurrió en las inmediaciones de Gaiman, Chubut. El incidente interrumpiendo servicios básicos en toda la zona. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Desastre Tecnológico - Contaminación,-43.241688,-65.540704,24/09/2012
"Se reporta Alerta epidemiológica en zona de Gálvez, Santa Fe","Un grave alerta epidemiológica se registró en Gálvez, Santa Fe. El incidente resultando en el cierre temporal de escuelas y comercios. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Desastre Tecnológico - Evento sanitario,-32.055839,-61.263639,29/12/2019
"Vertido de químicos sorprende a habitantes de Bell Ville, Córdoba","Grave vertido de químicos ocurrió en las inmediaciones de Bell Ville, Córdoba. El incidente generando caos en el transporte público y privado. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Desastre Tecnológico - Derrame,-32.611495,-62.717917,20/05/2003
Emergencia de salud pública sorprende a habitantes de Curuzú Cuatiá,"Autoridades confirmaron un emergencia de salud pública en Curuzú Cuatiá, Corrientes. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Desastre Tecnológico - Evento sanitario,-29.771525,-58.072949,19/11/2017
"Situación crítica por Envenenamiento masivo en Gaiman, Chubut","Un grave envenenamiento masivo se registró en Gaiman, Chubut. El incidente generando preocupación entre autoridades provinciales. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Desastre Tecnológico - Intoxicación masiva,-43.311502,-65.49133,16/08/2008
"Emisión de sustancias tóxicas afecta a Justo Daract, San Luis","Un grave emisión de sustancias tóxicas se registró en Justo Daract, San Luis. El incidente generando preocupación entre autoridades provinciales. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Desastre Tecnológico - Contaminación,-33.879188,-65.191689,09/04/2012
Habitantes de Caucete afrontan Casos de intoxicación por consumo,"Grave casos de intoxicación por consumo ocurrió en las inmediaciones de Caucete, San Juan. El incidente interrumpiendo servicios básicos en toda la zona. Se ha establecido un centro de operaciones para coordinar las ayudas.",Desastre Tecnológico - Intoxicación masiva,-31.678565,-68.327195,11/03/2001
Eldorado afectado por Vertido contaminante,"Un grave vertido contaminante se registró en Eldorado, Misiones. El incidente destruyendo viviendas y dejando a familias evacuadas. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Desastre Tecnológico - Contaminación,-26.422358,-54.632851,06/05/2009
Intoxicación por sustancias químicas impacta en Azul,"Un grave intoxicación por sustancias químicas se registró en Azul, Buenos Aires. El incidente dejando a la población incomunicada por varias horas. Se ha establecido un centro de operaciones para coordinar las ayudas.",Desastre Tecnológico - Intoxicación masiva,-36.746531,-59.820633,22/11/2004
"Situación crítica por Brote de enfermedad contagiosa en Villa María, Córdoba","Autoridades confirmaron un brote de enfermedad contagiosa en Villa María, Córdoba. El incidente dejando a varios sectores sin comunicación. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Desastre Tecnológico - Evento sanitario,-32.381307,-63.282673,17/05/2023
"Casos múltiples de intoxicación impacta en San Miguel de Tucumán, Tucumán","Un grave casos múltiples de intoxicación se registró en San Miguel de Tucumán, Tucumán. El incidente causando daños en cultivos y producción agrícola. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Desastre Tecnológico - Intoxicación masiva,-26.788722,-65.253623,08/09/2012
"Confirman Vertido de químicos de gran magnitud en Arroyito, Córdoba","Grave vertido de químicos ocurrió en las inmediaciones de Arroyito, Córdoba. El incidente causando daños en cultivos y producción agrícola. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Desastre Tecnológico - Derrame,-31.41789,-63.030256,18/03/2013
Habitantes de San Isidro afrontan Crisis sanitaria,"Grave crisis sanitaria ocurrió en las inmediaciones de San Isidro, Buenos Aires. El incidente provocando pánico entre los residentes locales. Equipos de rescate continúan buscando posibles víctimas.",Desastre Tecnológico - Evento sanitario,-34.434307,-58.497454,10/01/2011
"Equipos de emergencia atienden Polución del aire en Trelew, Chubut","Un grave polución del aire se registró en Trelew, Chubut. El incidente resultando en el cierre temporal de escuelas y comercios. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Desastre Tecnológico - Contaminación,-43.248684,-65.343649,20/03/2001
Preocupación por Alerta epidemiológica en Zapala,"Autoridades confirmaron un alerta epidemiológica en Zapala, Neuquén. El incidente dejando un rastro de destrucción importante. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Desastre Tecnológico - Evento sanitario,-38.945605,-70.019948,20/01/2020
Emergencia sanitaria por intoxicación sorprende a habitantes de Apóstoles,"Grave emergencia sanitaria por intoxicación ocurrió en las inmediaciones de Apóstoles, Misiones. El incidente interrumpiendo servicios básicos en toda la zona. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Desastre Tecnológico - Intoxicación masiva,-27.863987,-55.745573,16/06/2017
Serio incidente: Derrame de sustancias tóxicas en Las Heras,"Un grave derrame de sustancias tóxicas se registró en Las Heras, Santa Cruz. El incidente causando daños en cultivos y producción agrícola. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Desastre Tecnológico - Derrame,-46.513077,-68.925186,05/08/2000
"Declaran emergencia tras Crisis ambiental por contaminantes en Lomas de Zamora, Buenos Aires","Autoridades confirmaron un crisis ambiental por contaminantes en Lomas de Zamora, Buenos Aires. El incidente causando pérdidas millonarias y afectando a cientos de personas. La población ha sido alertada para tomar precauciones adicionales.",Desastre Tecnológico - Contaminación,-34.71363,-58.407698,12/04/2022
"Alerta por Emergencia sanitaria por intoxicación en Rosario, Santa Fe","Autoridades confirmaron un emergencia sanitaria por intoxicación en Rosario, Santa Fe. El incidente obligando a evacuar a residentes de la zona. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Desastre Tecnológico - Intoxicación masiva,-32.983034,-60.6661,10/03/2016
"Brote de enfermedad contagiosa provoca emergencia en Posadas, Misiones","Un grave brote de enfermedad contagiosa se registró en Posadas, Misiones. El incidente resultando en el cierre temporal de escuelas y comercios. Bomberos y personal de seguridad trabajan intensamente en la zona.",Desastre Tecnológico - Evento sanitario,-27.376625,-55.918271,26/07/2017
"Alerta sanitaria provoca emergencia en Comodoro Rivadavia, Chubut","Grave alerta sanitaria ocurrió en las inmediaciones de Comodoro Rivadavia, Chubut. El incidente generando serios daños ambientales en la región. La población ha sido alertada para tomar precauciones adicionales.",Desastre Tecnológico - Evento sanitario,-45.861144,-67.474509,12/07/2023
"Situación crítica por Contaminación de fuente hídrica en Villa Regina, Río Negro","Grave contaminación de fuente hídrica ocurrió en las inmediaciones de Villa Regina, Río Negro. El incidente afectando gravemente la infraestructura local. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Desastre Tecnológico - Contaminación,-39.104988,-67.067744,22/04/2022
Evacuaciones por Contaminación por derrame en Buenos Aires,"Un grave contaminación por derrame se registró en Buenos Aires, CABA. El incidente provocando la activación de protocolos de emergencia. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Desastre Tecnológico - Derrame,-34.558927,-58.402371,28/09/2003
Declaran emergencia tras Alerta epidemiológica en Chascomús,"Grave alerta epidemiológica ocurrió en las inmediaciones de Chascomús, Buenos Aires. El incidente bloqueando las principales vías de acceso. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Desastre Tecnológico - Evento sanitario,-35.542005,-58.03963,19/07/2018
Devastador Vertido de químicos afecta a General Güemes,"Un grave vertido de químicos se registró en General Güemes, Salta. El incidente provocando cortes de energía y problemas en el suministro de agua. Bomberos y personal de seguridad trabajan intensamente en la zona.",Desastre Tecnológico - Derrame,-24.645592,-65.054516,07/09/2011
"Evacuaciones por Derrame con riesgo ambiental en Arroyito, Córdoba","Un grave derrame con riesgo ambiental se registró en Arroyito, Córdoba. El incidente causando pérdidas millonarias y afectando a cientos de personas. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Desastre Tecnológico - Derrame,-31.410104,-63.025025,17/10/2024
Alerta epidemiológica impacta en San Luis,"Autoridades confirmaron un alerta epidemiológica en San Luis, San Luis. El incidente causando daños en cultivos y producción agrícola. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Desastre Tecnológico - Evento sanitario,-33.308523,-66.370417,24/11/2024
Situación crítica por Crisis ambiental por contaminantes en Posadas,"Grave crisis ambiental por contaminantes ocurrió en las inmediaciones de Posadas, Misiones. El incidente dejando un rastro de destrucción importante. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Desastre Tecnológico - Contaminación,-27.372361,-55.882472,03/08/2014
Polución industrial causa estragos en Yerba Buena,"Grave polución industrial ocurrió en las inmediaciones de Yerba Buena, Tucumán. El incidente dejando a la población incomunicada por varias horas. Equipos de rescate continúan buscando posibles víctimas.",Desastre Tecnológico - Contaminación,-26.82123,-65.347081,05/08/2007
"Chepes sufre las consecuencias de Emisión de sustancias tóxicas, La Rioja","Grave emisión de sustancias tóxicas ocurrió en las inmediaciones de Chepes, La Rioja. El incidente resultando en el cierre temporal de escuelas y comercios. Equipos de rescate continúan buscando posibles víctimas.",Desastre Tecnológico - Contaminación,-31.338557,-66.59745,13/05/2023
Situación crítica por Vertido de químicos en La Rioja,"Grave vertido de químicos ocurrió en las inmediaciones de La Rioja, La Rioja. El incidente generando caos en el transporte público y privado. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Desastre Tecnológico - Derrame,-29.371239,-66.81619,08/03/2025
Se reporta Contaminación ambiental severa en zona de Tolhuin,"Un grave contaminación ambiental severa se registró en Tolhuin, Tierra del Fuego. El incidente con un saldo inicial de varias personas heridas. Bomberos y personal de seguridad trabajan intensamente en la zona.",Desastre Tecnológico - Contaminación,-54.558224,-67.208137,16/04/2020
Alerta por Emergencia sanitaria por intoxicación en Belgrano,"Autoridades confirmaron un emergencia sanitaria por intoxicación en Belgrano, CABA. El incidente causando pérdidas millonarias y afectando a cientos de personas. La población ha sido alertada para tomar precauciones adicionales.",Desastre Tecnológico - Intoxicación masiva,-34.539208,-58.422551,26/08/2017
Emergencia por Brote epidémico en Concepción del Uruguay,"Grave brote epidémico ocurrió en las inmediaciones de Concepción del Uruguay, Entre Ríos. El incidente generando preocupación entre autoridades provinciales. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Desastre Tecnológico - Evento sanitario,-32.516999,-58.241889,12/09/2015
Emergencia por Envenenamiento masivo en Aristóbulo del Valle,"Grave envenenamiento masivo ocurrió en las inmediaciones de Aristóbulo del Valle, Misiones. El incidente causando daños en cultivos y producción agrícola. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Desastre Tecnológico - Intoxicación masiva,-27.099896,-54.895569,28/09/2001
Crisis ambiental por contaminantes deja múltiples daños en Pico Truncado,"Grave crisis ambiental por contaminantes ocurrió en las inmediaciones de Pico Truncado, Santa Cruz. El incidente obligando a evacuar a residentes de la zona. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Desastre Tecnológico - Contaminación,-46.75816,-67.968209,12/04/2011
"Propagación de enfermedad infecciosa afecta a Belgrano, CABA","Un grave propagación de enfermedad infecciosa se registró en Belgrano, CABA. El incidente interrumpiendo servicios básicos en toda la zona. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Desastre Tecnológico - Evento sanitario,-34.559361,-58.428167,07/02/2025
Contaminación de fuente hídrica causa estragos en Chajarí,"Autoridades confirmaron un contaminación de fuente hídrica en Chajarí, Entre Ríos. El incidente generando caos en el transporte público y privado. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Desastre Tecnológico - Contaminación,-30.737155,-58.014779,10/06/2019
"Se reporta Brote epidémico en zona de Pirané, Formosa","Autoridades confirmaron un brote epidémico en Pirané, Formosa. El incidente con un saldo inicial de varias personas heridas. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Desastre Tecnológico - Evento sanitario,-25.746985,-59.067891,10/07/2020
Polución del aire deja múltiples daños en Pehuajó,"Autoridades confirmaron un polución del aire en Pehuajó, Buenos Aires. El incidente dejando a varios sectores sin comunicación. La población ha sido alertada para tomar precauciones adicionales.",Desastre Tecnológico - Contaminación,-35.851904,-61.93591,09/11/2004
Confirman Crisis sanitaria de gran magnitud en San Isidro,"Un grave crisis sanitaria se registró en San Isidro, Buenos Aires. El incidente generando preocupación entre autoridades provinciales. La población ha sido alertada para tomar precauciones adicionales.",Desastre Tecnológico - Evento sanitario,-34.50484,-58.549883,15/06/2006
Preocupación por Vertido contaminante en Mar del Plata,"Un grave vertido contaminante se registró en Mar del Plata, Buenos Aires. El incidente causando daños en cultivos y producción agrícola. Bomberos y personal de seguridad trabajan intensamente en la zona.",Desastre Tecnológico - Contaminación,-38.054538,-57.512251,26/08/2023
Emergencia por Casos agrupados de enfermedad en Pirané,"Un grave casos agrupados de enfermedad se registró en Pirané, Formosa. El incidente generando caos en el transporte público y privado. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Desastre Tecnológico - Evento sanitario,-25.717064,-59.148253,27/09/2024
"Evacuaciones por Contaminación en río en Andalgalá, Catamarca","Autoridades confirmaron un contaminación en río en Andalgalá, Catamarca. El incidente afectando gravemente la infraestructura local. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Desastre Tecnológico - Contaminación,-27.579354,-66.333035,15/07/2002
"Emergencia por Casos múltiples de intoxicación en Trenque Lauquen, Buenos Aires","Un grave casos múltiples de intoxicación se registró en Trenque Lauquen, Buenos Aires. El incidente resultando en el cierre temporal de escuelas y comercios. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Desastre Tecnológico - Intoxicación masiva,-35.983519,-62.753655,12/07/2012
"Se reporta Contaminación por derrame en zona de Chajarí, Entre Ríos","Un grave contaminación por derrame se registró en Chajarí, Entre Ríos. El incidente bloqueando las principales vías de acceso. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Desastre Tecnológico - Derrame,-30.771618,-57.985583,03/05/2003
"Confirman Emergencia de salud pública de gran magnitud en Las Breñas, Chaco","Un grave emergencia de salud pública se registró en Las Breñas, Chaco. El incidente causando pérdidas millonarias y afectando a cientos de personas. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Desastre Tecnológico - Evento sanitario,-27.062784,-61.105051,16/03/2020
Devastador Contaminación ambiental severa afecta a Cosquín,"Un grave contaminación ambiental severa se registró en Cosquín, Córdoba. El incidente afectando el normal desarrollo de actividades en la zona. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Desastre Tecnológico - Contaminación,-31.239616,-64.440066,25/07/2006
"Puerto San Julián afectado por Propagación de enfermedad infecciosa, Santa Cruz","Autoridades confirmaron un propagación de enfermedad infecciosa en Puerto San Julián, Santa Cruz. El incidente provocando la activación de protocolos de emergencia. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Desastre Tecnológico - Evento sanitario,-49.265894,-67.756864,08/07/2016
Fuga de material peligroso provoca emergencia en Reconquista,"Autoridades confirmaron un fuga de material peligroso en Reconquista, Santa Fe. El incidente causando daños en cultivos y producción agrícola. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Desastre Tecnológico - Derrame,-29.089811,-59.686705,05/01/2008
Evacuaciones por Intoxicación colectiva en Monteros,"Autoridades confirmaron un intoxicación colectiva en Monteros, Tucumán. El incidente resultando en el cierre temporal de escuelas y comercios. La población ha sido alertada para tomar precauciones adicionales.",Desastre Tecnológico - Intoxicación masiva,-27.154085,-65.47747,28/07/2004
"Serio incidente: Derrame con riesgo ambiental en Merlo, San Luis","Autoridades confirmaron un derrame con riesgo ambiental en Merlo, San Luis. El incidente con un saldo inicial de varias personas heridas. El municipio ha activado el protocolo de emergencias para esta situación.",Desastre Tecnológico - Derrame,-32.364578,-64.997947,09/07/2005
"Se reporta Polución del aire en zona de General Güemes, Salta","Autoridades confirmaron un polución del aire en General Güemes, Salta. El incidente afectando el normal desarrollo de actividades en la zona. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Desastre Tecnológico - Contaminación,-24.626,-65.031269,12/02/2015
"Polución del aire deja múltiples daños en Villa Regina, Río Negro","Autoridades confirmaron un polución del aire en Villa Regina, Río Negro. El incidente destruyendo viviendas y dejando a familias evacuadas. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Desastre Tecnológico - Contaminación,-39.115856,-67.034686,26/10/2003
"Confirman Emergencia sanitaria por intoxicación de gran magnitud en Centenario, Neuquén","Autoridades confirmaron un emergencia sanitaria por intoxicación en Centenario, Neuquén. El incidente generando caos en el transporte público y privado. Equipos de rescate continúan buscando posibles víctimas.",Desastre Tecnológico - Intoxicación masiva,-38.82969,-68.150413,22/08/2010
"Confirman Emisión de sustancias tóxicas de gran magnitud en Resistencia, Chaco","Un grave emisión de sustancias tóxicas se registró en Resistencia, Chaco. El incidente generando preocupación entre autoridades provinciales. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Desastre Tecnológico - Contaminación,-27.457239,-59.007487,07/07/2011
"Habitantes de Cruz del Eje afrontan Intoxicación en establecimiento educativo, Córdoba","Autoridades confirmaron un intoxicación en establecimiento educativo en Cruz del Eje, Córdoba. El incidente interrumpiendo servicios básicos en toda la zona. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Desastre Tecnológico - Intoxicación masiva,-30.757803,-64.819301,20/06/2002
"Devastador Derrame en curso de agua afecta a Trenque Lauquen, Buenos Aires","Grave derrame en curso de agua ocurrió en las inmediaciones de Trenque Lauquen, Buenos Aires. El incidente dejando a la población incomunicada por varias horas. El municipio ha activado el protocolo de emergencias para esta situación.",Desastre Tecnológico - Derrame,-35.96284,-62.744333,13/10/2005
Evacuaciones por Brote de enfermedad contagiosa en Oberá,"Grave brote de enfermedad contagiosa ocurrió en las inmediaciones de Oberá, Misiones. El incidente dejando un rastro de destrucción importante. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Desastre Tecnológico - Evento sanitario,-27.459588,-55.095063,21/08/2008
"Se reporta Intoxicación colectiva en zona de Paraná, Entre Ríos","Autoridades confirmaron un intoxicación colectiva en Paraná, Entre Ríos. El incidente bloqueando las principales vías de acceso. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Desastre Tecnológico - Intoxicación masiva,-31.763703,-60.540868,01/11/2020
Declaran emergencia tras Envenenamiento masivo en Pergamino,"Autoridades confirmaron un envenenamiento masivo en Pergamino, Buenos Aires. El incidente bloqueando las principales vías de acceso. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Desastre Tecnológico - Intoxicación masiva,-33.919425,-60.526317,02/09/2010
"Se reporta Emergencia de salud pública en zona de Posadas, Misiones","Autoridades confirmaron un emergencia de salud pública en Posadas, Misiones. El incidente generando preocupación entre autoridades provinciales. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Desastre Tecnológico - Evento sanitario,-27.354651,-55.946883,01/03/2022
Río Tercero en alerta por Envenenamiento masivo,"Grave envenenamiento masivo ocurrió en las inmediaciones de Río Tercero, Córdoba. El incidente generando serios daños ambientales en la región. La población ha sido alertada para tomar precauciones adicionales.",Desastre Tecnológico - Intoxicación masiva,-32.209749,-64.075668,18/12/2001
"Impacto de Vertido contaminante en comunidad de Fernández, Santiago del Estero","Grave vertido contaminante ocurrió en las inmediaciones de Fernández, Santiago del Estero. El incidente dejando varios heridos y daños materiales. La población ha sido alertada para tomar precauciones adicionales.",Desastre Tecnológico - Contaminación,-27.918286,-63.890102,02/11/2002
Alerta epidemiológica deja múltiples daños en Caleta Olivia,"Grave alerta epidemiológica ocurrió en las inmediaciones de Caleta Olivia, Santa Cruz. El incidente generando caos en el transporte público y privado. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Desastre Tecnológico - Evento sanitario,-46.441158,-67.513001,10/11/2000
Jardín América sufre las consecuencias de Fuga de material peligroso,"Autoridades confirmaron un fuga de material peligroso en Jardín América, Misiones. El incidente provocando pánico entre los residentes locales. Bomberos y personal de seguridad trabajan intensamente en la zona.",Desastre Tecnológico - Derrame,-27.026924,-55.226035,03/01/2011
"Impacto de Contaminación de fuente hídrica en comunidad de Lomas de Zamora, Buenos Aires","Autoridades confirmaron un contaminación de fuente hídrica en Lomas de Zamora, Buenos Aires. El incidente obligando a evacuar a residentes de la zona. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Desastre Tecnológico - Contaminación,-34.732587,-58.419967,05/08/2024
"Emergencia por Derrame de combustible en Punta Alta, Buenos Aires","Autoridades confirmaron un derrame de combustible en Punta Alta, Buenos Aires. El incidente dejando varios heridos y daños materiales. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Desastre Tecnológico - Derrame,-38.87244,-62.095236,24/11/2012
Equipos de emergencia atienden Polución industrial en La Rioja,"Autoridades confirmaron un polución industrial en La Rioja, La Rioja. El incidente dejando varios heridos y daños materiales. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Desastre Tecnológico - Contaminación,-29.44459,-66.89848,25/05/2002
"Habitantes de Ushuaia afrontan Derrame con riesgo ambiental, Tierra del Fuego","Un grave derrame con riesgo ambiental se registró en Ushuaia, Tierra del Fuego. El incidente afectando el normal desarrollo de actividades en la zona. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Desastre Tecnológico - Derrame,-54.799542,-68.254079,27/03/2003
"Situación crítica por Intoxicación en establecimiento educativo en Cafayate, Salta","Un grave intoxicación en establecimiento educativo se registró en Cafayate, Salta. El incidente generando preocupación entre autoridades provinciales. El municipio ha activado el protocolo de emergencias para esta situación.",Desastre Tecnológico - Intoxicación masiva,-26.095348,-65.943403,25/06/2013
"Devastador Alerta sanitaria afecta a Perico, Jujuy","Grave alerta sanitaria ocurrió en las inmediaciones de Perico, Jujuy. El incidente destruyendo viviendas y dejando a familias evacuadas. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Desastre Tecnológico - Evento sanitario,-24.383411,-65.107262,05/03/2012
"Confirman Contaminación de fuente hídrica de gran magnitud en Río Gallegos, Santa Cruz","Grave contaminación de fuente hídrica ocurrió en las inmediaciones de Río Gallegos, Santa Cruz. El incidente resultando en el cierre temporal de escuelas y comercios. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Desastre Tecnológico - Contaminación,-51.622409,-69.168037,14/10/2000
Recoleta afectado por Contaminación ambiental severa,"Grave contaminación ambiental severa ocurrió en las inmediaciones de Recoleta, CABA. El incidente provocando pánico entre los residentes locales. La población ha sido alertada para tomar precauciones adicionales.",Desastre Tecnológico - Contaminación,-34.622452,-58.404367,13/09/2003
"Equipos de emergencia atienden Brote de enfermedad contagiosa en San Lorenzo, Santa Fe","Un grave brote de enfermedad contagiosa se registró en San Lorenzo, Santa Fe. El incidente provocando cortes de energía y problemas en el suministro de agua. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Desastre Tecnológico - Evento sanitario,-32.734751,-60.702619,12/08/2004
"Envenenamiento masivo deja múltiples daños en Clorinda, Formosa","Autoridades confirmaron un envenenamiento masivo en Clorinda, Formosa. El incidente bloqueando las principales vías de acceso. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Desastre Tecnológico - Intoxicación masiva,-25.294082,-57.730181,06/11/2022
Evacuaciones por Polución industrial en Rosario,"Un grave polución industrial se registró en Rosario, Santa Fe. El incidente obligando a evacuar a residentes de la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.",Desastre Tecnológico - Contaminación,-32.932793,-60.601625,29/04/2022
"Brote epidémico impacta en Belgrano, CABA","Autoridades confirmaron un brote epidémico en Belgrano, CABA. El incidente dejando a la población incomunicada por varias horas. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Desastre Tecnológico - Evento sanitario,-34.556048,-58.426397,05/05/2005
Contaminación ambiental severa genera crisis en Avellaneda,"Grave contaminación ambiental severa ocurrió en las inmediaciones de Avellaneda, Buenos Aires. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Desastre Tecnológico - Contaminación,-34.700215,-58.34212,19/07/2014
Polución del aire sorprende a habitantes de Córdoba,"Grave polución del aire ocurrió en las inmediaciones de Córdoba, Córdoba. El incidente afectando gravemente la infraestructura local. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Desastre Tecnológico - Contaminación,-31.446028,-64.215729,15/05/2023
"San Juan sufre las consecuencias de Brote de enfermedad contagiosa, San Juan","Grave brote de enfermedad contagiosa ocurrió en las inmediaciones de San Juan, San Juan. El incidente dejando a varios sectores sin comunicación. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Desastre Tecnológico - Evento sanitario,-31.559453,-68.542,15/10/2014
"Autoridades responden a Intoxicación por sustancias químicas en Trelew, Chubut","Grave intoxicación por sustancias químicas ocurrió en las inmediaciones de Trelew, Chubut. El incidente obligando a evacuar a residentes de la zona. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Desastre Tecnológico - Intoxicación masiva,-43.283513,-65.335474,29/06/2024
Se reporta Intoxicación en establecimiento educativo en zona de Toay,"Grave intoxicación en establecimiento educativo ocurrió en las inmediaciones de Toay, La Pampa. El incidente afectando gravemente la infraestructura local. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Desastre Tecnológico - Intoxicación masiva,-36.673115,-64.399933,09/06/2019
Serio incidente: Contaminación de fuente hídrica en Trenque Lauquen,"Un grave contaminación de fuente hídrica se registró en Trenque Lauquen, Buenos Aires. El incidente dejando a varios sectores sin comunicación. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Desastre Tecnológico - Contaminación,-35.962448,-62.760636,15/09/2010
"Habitantes de San Martín afrontan Emergencia de salud pública, Mendoza","Un grave emergencia de salud pública se registró en San Martín, Mendoza. El incidente dejando varios heridos y daños materiales. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Desastre Tecnológico - Evento sanitario,-33.037637,-68.48069,25/03/2024
Situación crítica por Intoxicación en establecimiento educativo en Clorinda,"Grave intoxicación en establecimiento educativo ocurrió en las inmediaciones de Clorinda, Formosa. El incidente dejando a varios sectores sin comunicación. Equipos de rescate continúan buscando posibles víctimas.",Desastre Tecnológico - Intoxicación masiva,-25.240177,-57.742934,24/04/2013
